target	state	samples	first_median_ms	first_p10_ms	first_p90_ms	first_max_ms	settled_median_ms	settled_p10_ms	settled_p90_ms	settled_max_ms	repaints_median	git_calls_median	unlocked_calls_median	semantic_passes
raw	clean	20	0.591	0.519	0.726	0.842	0.591	0.519	0.726	0.842	0.000	0.000	0.000	na
raw	dirty	20	0.529	0.464	0.590	0.723	0.529	0.464	0.590	0.723	0.000	0.000	0.000	na
raw	untracked	20	0.625	0.577	0.721	0.734	0.625	0.577	0.721	0.734	0.000	0.000	0.000	na
wakamex	clean	20	1.460	1.318	1.594	1.894	1.460	1.318	1.594	1.894	0.000	1.000	0.000	20/20
wakamex	dirty	20	1.454	1.266	1.539	2.014	7.072	6.439	7.689	7.823	1.000	1.000	0.000	20/20
wakamex	untracked	20	1.508	1.400	1.650	1.805	7.050	6.753	7.847	8.126	1.000	1.000	0.000	20/20
robbyrussell	clean	20	6.272	5.977	6.736	7.723	28.536	27.805	29.727	30.354	1.000	5.000	0.000	20/20
robbyrussell	dirty	20	6.567	6.055	6.998	7.366	29.221	28.325	30.102	31.609	1.000	5.000	0.000	20/20
robbyrussell	untracked	20	6.858	6.438	7.118	7.566	29.771	28.203	30.357	31.618	1.000	5.000	0.000	20/20
agnoster	clean	20	81.948	79.879	84.415	91.357	81.948	79.879	84.415	91.357	0.000	16.000	14.000	20/20
agnoster	dirty	20	81.993	80.143	84.010	84.596	81.993	80.143	84.010	84.596	0.000	16.000	14.000	20/20
agnoster	untracked	20	83.107	81.376	86.154	87.011	83.107	81.376	86.154	87.011	0.000	16.000	14.000	20/20
bureau	clean	20	34.700	33.350	37.171	39.219	34.700	33.350	37.171	39.219	0.000	5.000	5.000	20/20
bureau	dirty	20	34.745	33.728	36.677	38.043	34.745	33.728	36.677	38.043	0.000	5.000	5.000	20/20
bureau	untracked	20	34.942	33.724	36.793	39.692	34.942	33.724	36.793	39.692	0.000	5.000	5.000	20/20
Soliah	clean	20	28.457	27.661	29.022	29.732	28.457	27.661	29.022	29.732	0.000	4.000	4.000	0/20
Soliah	dirty	20	28.863	27.842	30.586	31.541	28.863	27.842	30.586	31.541	0.000	4.000	4.000	0/20
Soliah	untracked	20	29.268	28.088	30.477	31.476	29.268	28.088	30.477	31.476	0.000	4.000	4.000	0/20
steeef	clean	20	10.994	8.074	12.677	13.307	10.994	8.074	12.677	13.307	0.000	0.000	0.000	20/20
steeef	dirty	20	10.870	8.035	12.720	13.495	10.870	8.035	12.720	13.495	0.000	0.000	0.000	0/20
steeef	untracked	20	12.017	10.240	12.986	13.870	12.017	10.240	12.986	13.870	0.000	0.000	0.000	0/20
apple	clean	20	38.483	36.232	41.567	49.635	38.483	36.232	41.567	49.635	0.000	7.000	7.000	20/20
apple	dirty	20	37.590	36.801	41.906	42.518	37.590	36.801	41.906	42.518	0.000	7.000	7.000	20/20
apple	untracked	20	39.428	38.047	44.060	45.271	39.428	38.047	44.060	45.271	0.000	7.000	7.000	20/20
mortalscumbag	clean	20	63.153	59.451	66.347	118.289	63.153	59.451	66.347	118.289	0.000	7.000	4.000	20/20
mortalscumbag	dirty	20	63.359	59.845	66.847	67.912	63.359	59.845	66.847	67.912	0.000	7.000	4.000	20/20
mortalscumbag	untracked	20	65.844	61.661	67.925	69.422	65.844	61.661	67.925	69.422	0.000	7.000	4.000	20/20
ys	clean	20	15.963	14.493	18.756	19.314	37.367	35.048	39.508	39.754	1.000	5.000	0.000	20/20
ys	dirty	20	16.236	14.980	18.858	19.019	38.844	34.964	41.702	42.590	1.000	5.000	0.000	20/20
ys	untracked	20	16.727	15.530	19.665	24.211	40.147	35.420	42.627	44.009	1.000	5.000	0.000	20/20
bira	clean	20	16.948	16.548	17.301	17.604	40.904	39.917	41.775	43.592	1.000	5.000	0.000	20/20
bira	dirty	20	17.581	16.013	19.760	20.583	41.386	38.801	44.894	55.550	1.000	5.000	0.000	20/20
bira	untracked	20	18.011	16.996	20.735	20.931	42.153	37.708	43.396	46.456	1.000	5.000	0.000	20/20
pure	clean	20	11.116	10.198	13.200	13.495	24.591	23.630	27.145	32.476	1.000	6.000	5.000	20/20
pure	dirty	20	11.842	10.577	13.476	20.883	25.485	23.878	28.039	40.884	1.000	6.000	5.000	20/20
pure	untracked	20	12.506	10.813	17.004	17.616	28.300	23.944	35.228	39.395	1.000	6.000	5.000	20/20
powerlevel10k-pure	clean	20	13.367	11.733	14.583	16.029	14.521	12.283	21.804	22.790	1.000	0.000	0.000	20/20
powerlevel10k-pure	dirty	20	12.686	11.193	14.537	15.429	13.365	11.818	15.328	16.210	1.000	0.000	0.000	20/20
powerlevel10k-pure	untracked	20	11.786	11.307	14.704	14.863	12.450	11.942	15.586	20.748	1.000	0.000	0.000	20/20
powerlevel10k-fallback	clean	20	12.238	11.570	14.063	14.601	12.238	11.570	14.063	14.601	0.000	0.000	0.000	20/20
powerlevel10k-fallback	dirty	20	14.175	11.786	15.718	19.849	14.175	11.786	15.718	19.849	0.000	0.000	0.000	20/20
powerlevel10k-fallback	untracked	20	13.102	11.720	16.811	22.618	13.102	11.720	16.811	22.618	0.000	0.000	0.000	20/20
