snapshot_at_utc	benchmark_commit	target	target_kind	target_commit	omz_commit	zsh_version	git_version	iterations	fixture_files	settle_ms	load_first_ms	load_settled_ms	load_repaints	load_git_calls	load_unlocked_calls	clean_first_ms	clean_settled_ms	clean_repaints	clean_git_calls	clean_unlocked_calls	clean_semantic_passes	dirty_first_ms	dirty_settled_ms	dirty_repaints	dirty_git_calls	dirty_unlocked_calls	dirty_semantic_passes	untracked_first_ms	untracked_settled_ms	untracked_repaints	untracked_git_calls	untracked_unlocked_calls	untracked_semantic_passes	staged_semantic_pass	detached_head_semantic_pass
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	1.0168552399	1.0168552399	0	0	0	0.591	0.591	0.000	0.000	0.000	na	0.529	0.529	0.000	0.000	0.000	na	0.625	0.625	0.000	0.000	0.000	na	na	na
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	wakamex	local	0fa4a72ff93c544567760958845ab199808f3017	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	3.8268566132	3.8268566132	0	1	0	1.460	1.460	0.000	1.000	0.000	20	1.454	7.071	1.000	1.000	0.000	20	1.508	7.050	1.000	1.000	0.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	robbyrussell	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	374.1769790649	395.7936763763	1	6	1	6.272	28.536	1.000	5.000	0.000	20	6.567	29.221	1.000	5.000	0.000	20	6.858	29.771	1.000	5.000	0.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	agnoster	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	450.0126838684	450.0126838684	0	17	15	81.948	81.948	0.000	16.000	14.000	20	81.992	81.992	0.000	16.000	14.000	20	83.107	83.107	0.000	16.000	14.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	bureau	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	413.8123989105	413.8123989105	0	6	6	34.701	34.701	0.000	5.000	5.000	20	34.745	34.745	0.000	5.000	5.000	20	34.942	34.942	0.000	5.000	5.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	Soliah	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	412.6050472260	412.6050472260	0	5	5	28.457	28.457	0.000	4.000	4.000	0	28.863	28.863	0.000	4.000	4.000	0	29.268	29.268	0.000	4.000	4.000	0	0	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	steeef	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	413.0575656891	413.0575656891	0	9	9	10.993	10.993	0.000	0.000	0.000	20	10.870	10.870	0.000	0.000	0.000	0	12.017	12.017	0.000	0.000	0.000	0	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	apple	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	408.5490703583	408.5490703583	0	8	8	38.483	38.483	0.000	7.000	7.000	20	37.590	37.590	0.000	7.000	7.000	20	39.428	39.428	0.000	7.000	7.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	mortalscumbag	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	430.8834075928	430.8834075928	0	8	5	63.154	63.154	0.000	7.000	4.000	20	63.360	63.360	0.000	7.000	4.000	20	65.843	65.843	0.000	7.000	4.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	ys	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	396.7134952545	420.5985069275	1	6	1	15.963	37.367	1.000	5.000	0.000	20	16.237	38.844	1.000	5.000	0.000	20	16.727	40.147	1.000	5.000	0.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	bira	omz	2264a8042763edf2620cfe32d96b096e1f3d26aa	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	419.9409484863	444.5793628693	1	6	1	16.948	40.904	1.000	5.000	0.000	20	17.582	41.386	1.000	5.000	0.000	20	18.012	42.153	1.000	5.000	0.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	pure	external	dbefd0dcafaa3ac7d7222ca50890d9d0c97f7ca2	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	27.7445316315	55.0727844238	1	7	6	11.116	24.591	1.000	6.000	5.000	20	11.842	25.484	1.000	6.000	5.000	20	12.506	28.301	1.000	6.000	5.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	powerlevel10k-pure	external	35833ea15f14b71dbcebc7e54c104d8d56ca5268	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	389.9600505829	399.0826606750	2	0	0	13.367	14.521	1.000	0.000	0.000	20	12.686	13.365	1.000	0.000	0.000	20	11.786	12.449	1.000	0.000	0.000	20	1	1
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	powerlevel10k-fallback	external	35833ea15f14b71dbcebc7e54c104d8d56ca5268	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	20	1000	150	72.1914768219	72.1914768219	0	0	0	12.237	12.237	0.000	0.000	0.000	20	14.175	14.175	0.000	0.000	0.000	20	13.102	13.102	0.000	0.000	0.000	20	1	1
