snapshot_at_utc	benchmark_commit	runner_sha256	target	target_index	phase	observed_epoch_seconds	load1	load5	load15	cpu_psi_some_avg10	cpu_psi_some_avg60	cpu_psi_some_avg300	cpu_psi_some_total
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	1	start	1788313404.771851	3.22	3.37	3.51	0.00	0.00	0.02	178016603
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	1	end	1788313423.517735	3.55	3.44	3.53	0.05	0.02	0.03	178184885
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	wakamex	2	start	1788313423.518000	3.55	3.44	3.53	0.05	0.02	0.03	178184885
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	wakamex	2	end	1788313454.085535	3.19	3.36	3.50	0.02	0.05	0.03	178429410
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	robbyrussell	3	start	1788313454.085821	3.19	3.36	3.50	0.02	0.05	0.03	178429410
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	robbyrussell	3	end	1788313489.372185	3.65	3.45	3.53	0.00	0.02	0.02	178704548
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	agnoster	4	start	1788313489.372467	3.65	3.45	3.53	0.00	0.02	0.02	178704548
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	agnoster	4	end	1788313540.401466	3.70	3.49	3.54	0.00	0.00	0.01	179076736
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	bureau	5	start	1788313540.401815	3.70	3.49	3.54	0.00	0.00	0.01	179076736
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	bureau	5	end	1788313580.126662	3.97	3.59	3.57	0.00	0.00	0.00	179348035
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	Soliah	6	start	1788313580.127003	3.97	3.59	3.57	0.00	0.00	0.00	179348035
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	Soliah	6	end	1788313619.311400	3.56	3.52	3.55	0.00	0.00	0.00	179589638
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	steeef	7	start	1788313619.311756	3.56	3.52	3.55	0.00	0.00	0.00	179589638
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	steeef	7	end	1788313653.927345	4.17	3.69	3.60	0.00	0.00	0.00	179849632
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	apple	8	start	1788313653.927698	4.17	3.69	3.60	0.00	0.00	0.00	179849632
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	apple	8	end	1788313693.724272	4.41	3.80	3.64	0.00	0.00	0.00	180118745
