snapshot_at_utc	omz_commit	theme	last_commit_at	last_commit_sha	uses_git_prompt_info	uses_parse_git_dirty	uses_vcs_info	direct_git_calls	uses_zle_fd_handler	uses_zsh_hooks	last_commit_subject
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	3den	2019-05-08T08:45:34+02:00	299cd4777a8b9da1934a1ed0c80767eea6691a70	1	0	0	0	0	0	Themes: switch to using ruby_prompt_info()
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	Soliah	2024-03-26T09:55:16+01:00	1d09c6bb0a950756a65b02457842933e3aa493eb	1	0	0	3	0	0	style: remove trailing whitespace (#12303)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	adben	2024-03-26T09:55:16+01:00	1d09c6bb0a950756a65b02457842933e3aa493eb	1	0	0	0	0	0	style: remove trailing whitespace (#12303)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	af-magic	2025-06-29T17:11:47+02:00	cb72d7dcbf08b435c7f8a6470802b207b2aa02c3	1	0	0	0	0	0	fix(af-magic): fix venv prompt counting parenthesis (#13190)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	afowler	2021-12-13T11:17:13+01:00	a1a63f4c7d3e765ffc4af93793d6d45287e80291	1	0	0	0	0	0	feat(afowler): add mercurial support
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	agnoster	2025-06-09T20:40:46+02:00	3ff8c7ef678a990a88ca988c3a4f007296af4934	0	1	1	11	0	0	feat(agnoster): add terraform to prompt (#7892)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	alanpeabody	2019-05-08T08:45:34+02:00	299cd4777a8b9da1934a1ed0c80767eea6691a70	1	0	0	0	0	0	Themes: switch to using ruby_prompt_info()
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	amuse	2024-05-15T19:27:21+02:00	fb91ca27a2d65b834e98a3986cfee73ad82ea412	1	0	0	0	0	0	feat(amuse): add whitespace before virtualenv (#12423)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	apple	2023-05-03T11:19:41+02:00	85fdbfe21692a3fa7bdd7bc509163e23fb385279	0	0	1	1	0	1	fix(apple): go back to previous icon
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	arrow	2020-08-04T15:55:04+02:00	69a380771e571eb38f3887adf0d92a99b4309361	1	0	0	0	0	0	Remove non-existing %p prompt sequence from themes
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	aussiegeek	2024-09-24T18:18:17+02:00	9114853500ea66cff7c803b0e951754833946f3d	1	0	0	0	0	0	fix(aussiegeek): quote color sequences
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	avit	2024-03-26T09:55:16+01:00	1d09c6bb0a950756a65b02457842933e3aa493eb	1	0	0	1	0	0	style: remove trailing whitespace (#12303)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	awesomepanda	2024-09-03T23:35:22+02:00	ab3d42a34cd0600b723de0accc248632f2dcf4e3	1	0	0	0	0	0	Revert "fix(awesomepanda): new line wrap" (#12651)
2026-08-27T17:11:21Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	bira	2024-07-15T19:17:05+02:00	be10a9127731e7c6a9a57f8c8c1789e233117ae9	1	0	0	0	0	0	feat(bira): add `conda` env information (requires `conda-env` plugin) (#12546)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	blinks	2025-05-22T11:27:34+02:00	0354add542b6d769dbe39e10eb0caa0a11b2b716	1	0	0	1	0	0	fix(blinks)!: use `default` instead of `black` color (#13123)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	bureau	2023-05-24T14:32:26+02:00	ec369bb38e873fa2e8954bc45bc192fdb0051313	0	0	0	6	0	1	fix(bureau): properly display git stash info (#11711)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	candy-kingdom	2022-01-03T13:50:52+01:00	a9d57eb2eec4d6234c4714a430ddfb4c57443570	1	0	0	0	0	0	fix: quote % in `box_name` prompt functions
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	candy	2016-03-30T21:46:39+02:00	e8a9d0ee1a97033fb4aa371263889b77200b6d62	1	0	0	0	0	0	localization support for clock in candy theme
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	clean	2018-08-07T20:42:01+02:00	19b925e741fa46d2222210469a4dffc34a634ebd	1	0	0	0	0	0	use https everywhere (#6574)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	cloud	2020-08-04T15:55:04+02:00	69a380771e571eb38f3887adf0d92a99b4309361	1	0	0	0	0	0	Remove non-existing %p prompt sequence from themes
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	crcandy	2019-06-14T14:46:08+02:00	9060c1ddae7290c88eb91d48567f07624a881376	1	0	0	0	0	0	crcandy: use 24h format in prompt (#7926)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	crunch	2024-03-26T09:55:16+01:00	1d09c6bb0a950756a65b02457842933e3aa493eb	1	0	0	0	0	0	style: remove trailing whitespace (#12303)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	cypher	2015-08-16T22:53:07-06:00	c66c3aef8126bf943b2746afb6a9c2a536990db5	0	0	0	0	0	0	Fix graphical bug in cypher theme when return status is non-zero
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dallas	2021-12-01T12:20:31+01:00	0e41181d547e2f89ffc503a7afc8b0f3991dd1a8	1	1	0	0	0	0	chore: fix spelling errors across the project (#10459)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	darkblood	2009-11-09T07:15:06+08:00	e24709a2b80c8f829c8ceb66130a4b3a6cb86261	1	0	0	0	0	0	Fixed darkblood theme as in issue #23.
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	daveverwer	2010-05-08T04:30:50+08:00	97aac4acb5913a042a12a4797f5cc1894f2e21f5	1	0	0	0	0	0	New theme "daveverwer", based on "geoffgarside".
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dieter	2022-01-05T09:23:54+01:00	d3bb52d7d825f2a6ce2e1c76ca472b05c6f27b40	1	0	0	0	0	0	style: declare globals properly
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dogenpunk	2022-01-10T19:39:05+01:00	9c84c344d762b200de7acc794b9a0e7832144e7a	1	0	0	3	0	0	fix: disable `log.showSignature` in `git log` calls
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dpoggi	2026-03-24T08:50:36+01:00	7e7cb5a23c63bde29dd45e3bed2599556b638cf5	1	0	0	0	0	0	fix(dpoggi): ensure correct Ghostty rendering (#13644)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dst	2019-03-25T17:05:50+01:00	e59cc94805ebe76b0eb57de0b84e403583ebd4db	1	0	0	0	0	0	themes: fix prompt verbosity on window resize
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	dstufft	2018-10-07T23:01:25+02:00	3a6fa9149b7a3db89d22f40ae371ad636f5ed527	1	0	0	1	0	0	Fix tilde substitution in theme prompts
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	duellj	2018-08-07T20:42:01+02:00	19b925e741fa46d2222210469a4dffc34a634ebd	0	0	0	0	0	0	use https everywhere (#6574)
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	eastwood	2026-05-28T19:45:47+02:00	c90141ed77ff89cc4d9e957aaee713e576ad2c39	0	1	0	0	0	0	fix: escape % characters in git prompts
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	edvardm	2020-08-04T15:55:04+02:00	69a380771e571eb38f3887adf0d92a99b4309361	1	0	0	0	0	0	Remove non-existing %p prompt sequence from themes
2026-08-27T17:11:22Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	emotty	2024-03-26T09:55:16+01:00	1d09c6bb0a950756a65b02457842933e3aa493eb	0	0	1	1	0	1	style: remove trailing whitespace (#12303)
