snapshot_at_utc	omz_commit	metric	target	count	incomplete_results	query
2026-08-27T16:48:28Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	3den	34	false	"ZSH_THEME=\"3den\""
2026-08-27T16:48:35Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	adben	13	false	"ZSH_THEME=\"adben\""
2026-08-27T16:48:42Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	af-magic	878	false	"ZSH_THEME=\"af-magic\""
2026-08-27T16:48:49Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	afowler	212	false	"ZSH_THEME=\"afowler\""
2026-08-27T16:48:57Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	agnoster	7600	false	"ZSH_THEME=\"agnoster\""
2026-08-27T16:49:04Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	alanpeabody	243	false	"ZSH_THEME=\"alanpeabody\""
2026-08-27T16:49:11Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	amuse	534	false	"ZSH_THEME=\"amuse\""
2026-08-27T16:49:18Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	apple	154	false	"ZSH_THEME=\"apple\""
2026-08-27T16:49:26Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	arrow	175	false	"ZSH_THEME=\"arrow\""
2026-08-27T16:49:33Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	aussiegeek	105	false	"ZSH_THEME=\"aussiegeek\""
2026-08-27T16:49:40Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	avit	535	false	"ZSH_THEME=\"avit\""
2026-08-27T16:49:48Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	awesomepanda	204	false	"ZSH_THEME=\"awesomepanda\""
2026-08-27T16:49:55Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	bira	928	false	"ZSH_THEME=\"bira\""
2026-08-27T16:50:02Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	blinks	159	false	"ZSH_THEME=\"blinks\""
2026-08-27T16:50:09Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	bureau	269	false	"ZSH_THEME=\"bureau\""
2026-08-27T16:50:16Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	candy-kingdom	20	false	"ZSH_THEME=\"candy-kingdom\""
2026-08-27T16:50:24Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	candy	301	false	"ZSH_THEME=\"candy\""
2026-08-27T16:50:31Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	clean	269	false	"ZSH_THEME=\"clean\""
2026-08-27T16:50:38Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	cloud	262	false	"ZSH_THEME=\"cloud\""
2026-08-27T16:50:45Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	crcandy	68	false	"ZSH_THEME=\"crcandy\""
2026-08-27T16:50:52Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	crunch	125	false	"ZSH_THEME=\"crunch\""
2026-08-27T16:51:00Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	cypher	105	false	"ZSH_THEME=\"cypher\""
2026-08-27T16:51:07Z	2264a8042763edf2620cfe32d96b096e1f3d26aa	github_code_search_total	dallas	33	false	"ZSH_THEME=\"dallas\""
