snapshot_date	metric	target	count	classification	query_or_repository
2026-08-27	github_code_search_total	robbyrussell	21280	omz-bundled	ZSH_THEME="robbyrussell"
2026-08-27	github_code_search_total	agnoster	7600	omz-bundled	ZSH_THEME="agnoster"
2026-08-27	github_code_search_total	spaceship	2256	external-omz	ZSH_THEME="spaceship"
2026-08-27	github_code_search_total	random	1572	omz-selector	ZSH_THEME="random"
2026-08-27	github_code_search_total	ys	1272	omz-bundled	ZSH_THEME="ys"
2026-08-27	github_code_search_total	bira	928	omz-bundled	ZSH_THEME="bira"
2026-08-27	github_code_search_total	af-magic	878	omz-bundled	ZSH_THEME="af-magic"
2026-08-27	github_code_search_total	avit	535	omz-bundled	ZSH_THEME="avit"
2026-08-27	github_code_search_total	gnzh	397	omz-bundled	ZSH_THEME="gnzh"
2026-08-27	github_code_search_total	simple	382	omz-bundled	ZSH_THEME="simple"
2026-08-27	github_code_search_total	eastwood	371	omz-bundled	ZSH_THEME="eastwood"
2026-08-27	github_code_search_total	candy	301	omz-bundled	ZSH_THEME="candy"
2026-08-27	github_code_search_total	bureau	269	omz-bundled	ZSH_THEME="bureau"
2026-08-27	github_code_search_total	clean	269	omz-bundled	ZSH_THEME="clean"
2026-08-27	github_code_search_total	cloud	262	omz-bundled	ZSH_THEME="cloud"
2026-08-27	github_code_search_total	pygmalion	209	omz-bundled	ZSH_THEME="pygmalion"
2026-08-27	github_code_search_total	fino	178	omz-bundled	ZSH_THEME="fino"
2026-08-27	github_code_search_total	dst	123	omz-bundled	ZSH_THEME="dst"
2026-08-27	github_code_search_total	sorin	121	omz-bundled	ZSH_THEME="sorin"
2026-08-27	github_code_search_total	jreese	70	omz-bundled	ZSH_THEME="jreese"
2026-08-27	github_repository_stars	starship/starship	59631	external-prompt	starship/starship
2026-08-27	github_repository_stars	romkatv/powerlevel10k	54982	external-prompt	romkatv/powerlevel10k
2026-08-27	github_repository_stars	spaceship-prompt/spaceship-prompt	20566	external-prompt	spaceship-prompt/spaceship-prompt
2026-08-27	github_repository_stars	sindresorhus/pure	14400	external-prompt	sindresorhus/pure
2026-08-27	github_repository_stars	ohmyzsh/ohmyzsh	189414	framework	ohmyzsh/ohmyzsh
